Time [das],Tension [g],Steps
1086.4755,540,100
1086.5745,540,100
1086.6725,540,100
1086.8105,540,100
1086.9045,540,100
1086.9985,540,100
1087.0965,540,100
1087.1895,540,100
1087.2845,540,100
1087.3775,540,100
1087.4725,540,100
1087.5655,539,100
1087.6655,539,100
1087.7586,539,100
1087.8956,539,100
1087.9885,539,100
1088.0825,539,100
1088.1756,539,100
1088.2754,539,100
1088.3695,539,100
1088.4656,539,100
1088.5586,539,100
1088.6524,539,100
1088.7456,539,100
1088.8416,539,100
1088.9854,539,100
1089.0806,539,100
1089.1744,539,100
1089.2684,539,100
1089.3616,539,100
1089.4574,539,100
1089.5554,539,100
1089.6496,539,100
1089.7434,539,100
1089.8366,539,100
1089.9314,539,100
1090.0714,539,100
1090.1644,539,100
1090.2614,539,100
1090.3545,540,100
1090.4473,540,100
1090.5423,540,100
1090.6375,540,100
1090.7346,540,100
1090.8343,540,100
1090.9293,540,100
1091.0225,539,100
1091.1603,539,100
1091.2593,539,100
1091.3543,539,100
1091.4533,540,100
1091.5473,540,100
1091.6403,540,100
1091.7344,540,100
1091.8293,539,100
1091.9243,539,100
1092.0213,539,100
1092.1173,539,100
1092.2543,539,100
1092.3483,539,100
1092.4493,539,100
1092.5533,539,100
1092.6483,539,100
1092.7433,539,100
1092.8363,539,100
1092.9302,539,100
1093.0242,539,100
1093.1204,539,100
1093.2202,539,100
1093.3562,539,100
1093.4502,539,100
1093.5432,539,100
1093.6362,539,100
1093.7392,539,100
1093.8412,539,100
1093.9452,539,100
1094.0502,539,100
1094.1442,539,100
1094.2382,539,100
1094.3332,539,100
1094.4703,539,100
1094.5662,539,100
1094.6612,539,100
1094.7542,539,100
1094.8512,539,100
1094.9492,539,100
1095.0452,539,100
1095.1403,539,100
1095.2352,539,100
1095.3282,539,100
1095.4221,539,100
1095.5654,539,100
1095.6632,539,100
1095.7572,539,100
1095.8532,539,100
1095.9462,539,100
1096.0402,539,100
1096.1332,539,100
1096.2321,539,100
1096.3311,539,100
1096.4241,539,100
1096.5171,539,100
1096.6551,539,100
1096.7501,539,100
1096.8492,539,100
